baseId ,topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation,language
astro_00130,Relativity & Fundamental Physics,9,What is the cosmological constant?,Universal expansion rate,Dark energy density,Speed of light,Gravitational strength,B,The cosmological constant represents the energy density of empty space associated with dark energy.,en
astro_00131,Galaxies & Cosmology,6,What is the Dark Forest Theory?,Space is dark,Aliens hide from each other,Forests block signals,Communication is impossible,B,The Dark Forest Theory suggests civilizations remain silent because revealing themselves invites destruction from others.,en
astro_00132,Solar System,4,What is the diameter of Enceladus approximately?,300 kilometers,500 kilometers,700 kilometers,900 kilometers,B,Enceladus is about 500 kilometers in diameter making it the sixth-largest moon of Saturn.,en
astro_00133,Small Solar System Bodies,4,What is the difference between a meteoroid meteorite and meteor?,Size differences,Location differences,Composition differences,Age differences,B,A meteoroid is in space a meteor is in the atmosphere and a meteorite has landed on Earth.,en
astro_00134,Galaxies & Cosmology,10,What is the Doomsday Argument related to the Fermi Paradox?,Civilizations destroy themselves,The universe will end,Earth will be destroyed,Stars will die out,A,The Doomsday Argument suggests that civilizations tend to destroy themselves before becoming spacefaring explaining the silence.,en
astro_00135,Galaxies & Cosmology,9,What is the Doomsday Argument?,Civilizations destroy themselves before contact,The universe will end soon,Earth faces imminent destruction,Stars will die out quickly,A,The Doomsday Argument suggests civilizations tend to destroy themselves before becoming spacefaring.,en
astro_00136,Space Missions,6,What is the Double Asteroid Redirection Test (DART) mission?,Study asteroids,Deflect an asteroid,Mine asteroids,Map asteroids,B,DART successfully demonstrated asteroid deflection by impacting the asteroid Dimorphos in 2022.,en
astro_00137,Space Missions,10,What is the Dragonfly mission's destination?,Titan,Europa,Enceladus,Mars,A,Dragonfly is a rotorcraft mission that will explore Saturn's moon Titan searching for signs of life.,en
astro_00138,Galaxies & Cosmology,2,What is the Drake Equation used to estimate?,Mass of Stellar Objects,Distance to stars,Number of communicative civilizations,Age of the Universe,C,It estimates the number of civilizations in the galaxy that might communicate with us.,en
astro_00139,Stellar Objects,8,What is the Eddington limit?,Maximum luminosity for hydrostatic equilibrium,Maximum mass for nuclear fusion,Maximum temperature in stellar cores,Maximum magnetic field strength,A,The Eddington limit is the maximum luminosity a star can have while maintaining hydrostatic equilibrium.,en
astro_00140,Relativity & Fundamental Physics,7,What is the equivalence principle?,Gravity equals acceleration,Mass equals energy,Space equals time,Force equals motion,A,The equivalence principle states that gravitational acceleration is indistinguishable from other forms of acceleration.,en
astro_00141,Stellar Objects,3,What is the ergosphere of a rotating black hole?,The event horizon,The region where spacetime is dragged,The accretion disk,The photon sphere,B,The ergosphere is the region around a rotating black hole where spacetime itself is dragged around.,en
astro_00142,Space Missions,5,What is the Europa Clipper's main objective?,Study Europa's subsurface ocean,Land on Europa's surface,Study Jupiter's atmosphere,Map Europa's geology,A,Europa Clipper will study Europa's subsurface ocean and assess its potential for harboring life.,en
astro_00143,Stellar Objects,5,What is the event horizon of a black hole?,The point where light escapes,The boundary beyond which nothing can escape,The center of the black hole,The outer edge of the accretion disk,B,"The event horizon is the boundary around a black hole beyond which nothing, not even light, can escape.",en
astro_00144,Space Observation,8,What is the Event Horizon Telescope?,A single large telescope,A network of radio telescopes,A space-based telescope,A theoretical telescope,B,The Event Horizon Telescope is a global network of radio telescopes that work together to image Stellar Objects.,en
astro_00145,Space Observation,7,What is the Event Horizon Telescope's achievement?,First image of a black hole,Discovery of gravitational waves,Detection of exoplanets,Measurement of dark energy,A,The Event Horizon Telescope achieved the first direct image of a black hole's event horizon.,en
astro_00146,Space Observation,9,What is the Extremely Large Telescope's mirror size?,39 meters,30 meters,25 meters,50 meters,A,The Extremely Large Telescope will have a 39-meter segmented primary mirror when completed.,en
astro_00147,General Curiosities,2,What is the fastest spinning planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C,Jupiter has the fastest rotation period spinning once every 9 hours and 56 minutes.,en
astro_00148,General Curiosities,4,What is the Fermi Paradox named after?,Enrico Fermi's lunch question,Giuseppe Fermi's theory,Fermi's telescope discovery,Fermi's space mission,A,"The Fermi Paradox is named after Enrico Fermi who asked ""Where is everybody?"" during a 1950 lunch conversation.",en
astro_00149,Galaxies & Cosmology,6,What is the Fermi Paradox?,The contradiction between high probability of alien life and lack of evidence,A physics principle about particle behavior,A mathematical equation for space travel,A theory about black hole formation,A,The Fermi Paradox questions why we haven't found evidence of extraterrestrial civilizations despite the high probability of their existence.,en
astro_00150,Stellar Objects,2,What is the final stage of a massive star's life?,White dwarf,Neutron star,Red giant,Protostar,B,Massive stars may end as neutron stars or Stellar Objects after a supernova explosion.,en
astro_00151,Stellar Objects,8,What is the firewall paradox?,Stellar Objects are too hot,The event horizon burns matter,Quantum effects create a firewall,Stellar Objects emit fire,C,The firewall paradox suggests quantum effects might create a destructive firewall at the event horizon.,en
astro_00152,Solar System,5,What is the frost line in the Solar System?,The boundary where water freezes,The edge of the heliosphere,The asteroid belt location,The Kuiper Belt inner edge,A,The frost line is the distance from the Sun where water ice can condense in the protoplanetary disk.,en
astro_00153,Galaxies & Cosmology,7,What is the fundamental plane of elliptical galaxies?,Relationship between size velocity and brightness,Galaxy formation timeline,Stellar population characteristics,Dark matter distribution,A,The fundamental plane describes the relationship between effective radius surface brightness and velocity dispersion in elliptical galaxies.,en
astro_00154,Stellar Objects,10,What is the fuzzball theory?,Stellar Objects are made of tangled strings,Stellar Objects have fuzzy boundaries,Event horizons are approximate,Stellar Objects are quantum superpositions,A,The fuzzball theory in string theory suggests Stellar Objects are made of tangled strings rather than having event horizons.,en
astro_00155,Relativity & Fundamental Physics,7,What is the geodesic deviation equation?,Describes tidal forces,Calculates light bending,Measures time dilation,Determines frame dragging,A,The geodesic deviation equation describes how nearby geodesics separate due to spacetime curvature (tidal forces).,en
astro_00156,Solar System,9,What is the Grand Tack model?,Jupiter's inward then outward migration,Saturn's ring formation theory,Mars' atmospheric loss mechanism,Venus' retrograde rotation explanation,A,The Grand Tack model proposes Jupiter migrated inward to 1.5 AU then outward explaining the asteroid belt structure.,en
astro_00157,Galaxies & Cosmology,7,What is the Great Attractor?,A massive galaxy,A gravitational anomaly,A black hole,A dark matter concentration,B,The Great Attractor is a gravitational anomaly that appears to be pulling our Local Group toward it.,en
astro_00158,Galaxies & Cosmology,7,What is the Great Filter concept?,Barrier preventing spacefaring civilizations,Cosmic event destroying life,Method of communication,Type of telescope technology,A,The Great Filter is a hypothetical barrier that prevents most life from evolving to become spacefaring civilizations.,en
astro_00159,General Curiosities,4,What is the Great Red Spot on Jupiter?,A storm,A moon,A crater,A mountain,A,The Great Red Spot is a giant storm on Jupiter that has been raging for at least 400 years.,en
astro_00160,Worlds Beyond,5,What is the habitable zone also called?,Goldilocks zone,Green zone,Life zone,Water zone,A,"The habitable zone is also called the Goldilocks zone where conditions are ""just right"" for liquid water.",en
astro_00161,Worlds Beyond,5,What is the habitable zone around a star?,The zone where planets form,The zone where life could exist with liquid water,The zone closest to the star,The zone farthest from the star,B,The habitable zone is the region around a star where conditions might allow liquid water to exist on a planet's surface.,en
astro_00162,Worlds Beyond,3,What is the habitable zone?,Region where liquid water can exist,Region with oxygen atmosphere,Region with magnetic field,Region with stable orbit,A,The habitable zone is the region around a star where liquid water could exist on a planet's surface.,en
astro_00163,General Curiosities,8,What is the heat death of the universe?,Maximum entropy state with no usable energy,Universe becoming too hot,Universe burning up,Universe exploding,A,Heat death refers to the universe reaching maximum entropy with no energy available to perform work.,en
astro_00164,Stellar Objects,8,What is the helium flash?,Explosive helium burning in low-mass stars,Helium star explosion,Helium planet formation,Helium atmospheric escape,A,The helium flash is the explosive onset of helium burning in the degenerate core of low-mass red giant stars.,en
astro_00165,Stellar Objects,10,What is the holographic principle related to Stellar Objects?,Stellar Objects are holograms,Information is encoded on the surface,Stellar Objects project images,Stellar Objects are two-dimensional,B,The holographic principle suggests that all information in a volume can be encoded on its boundary surface.,en
astro_00166,Stellar Objects,8,What is the holographic principle?,Information encoded on boundary surfaces,Stellar Objects are holograms,3D space is an illusion,Time is emergent,A,The holographic principle suggests all information in a volume can be encoded on its boundary surface.,en
astro_00167,General Curiosities,4,What is the hottest planet in the Solar System?,Mercury,Venus,Mars,Earth,B,"Venus has a thick atmosphere that traps heat, making it the hottest planet.",en
astro_00168,Space Observation,7,What is the Hubble Space Telescope's main advantage?,Space location avoiding atmosphere,Large mirror size,Advanced instruments,Long operational life,A,Hubble's main advantage is its space location avoiding atmospheric distortion and absorption.,en
astro_00169,Stellar Objects,6,What is the information paradox related to Stellar Objects?,Information cannot enter Stellar Objects,Information is destroyed in Stellar Objects,Information cannot escape Stellar Objects,Information creates Stellar Objects,B,The information paradox questions whether information is truly destroyed when matter falls into a black hole.,en
astro_00170,Stellar Objects,7,What is the information paradox?,Information is destroyed in Stellar Objects,Information cannot enter Stellar Objects,Information cannot escape Stellar Objects,Information creates Stellar Objects,A,The information paradox questions whether information is truly destroyed when matter falls into a black hole.,en
astro_00171,Stellar Objects,5,What is the innermost stable circular orbit (ISCO)?,The event horizon,The closest stable orbit around a black hole,The photon sphere,The ergosphere boundary,B,The ISCO is the closest distance at which matter can orbit a black hole in a stable circular orbit.,en
astro_00172,Space Missions,9,What is the Interstellar Probe mission concept?,Probe to interstellar space,Mars sample return,Jupiter moon exploration,Solar observation,A,The Interstellar Probe is a proposed mission to travel beyond the heliosphere into interstellar space.,en
astro_00173,Worlds Beyond,9,What is the James Webb Space Telescope's contribution to exoplanet science?,Finding new exoplanets,Studying exoplanet atmospheres,Measuring exoplanet masses,Calculating exoplanet orbits,B,JWST specializes in studying exoplanet atmospheres using infrared spectroscopy to analyze their composition.,en
astro_00174,Worlds Beyond,10,What is the James Webb Space Telescope's exoplanet capability?,Detailed atmospheric spectroscopy,Direct imaging of all exoplanets,Detecting Earth-sized planets,Measuring planetary masses,A,JWST can perform detailed atmospheric spectroscopy of exoplanets revealing their composition and properties.,en
astro_00175,Small Solar System Bodies,7,What is the Kirkwood gaps?,Empty regions in the asteroid belt,Gaps in Saturn's rings,Spaces between planets,Holes in comets,A,Kirkwood gaps are regions in the asteroid belt with few asteroids due to gravitational resonances with Jupiter.,en
astro_00176,Solar System,7,What is the Kozai mechanism?,Orbital resonance effect,Tidal heating process,Magnetic field interaction,Atmospheric escape mechanism,A,The Kozai mechanism describes how gravitational perturbations can cause periodic changes in orbital eccentricity and inclination.,en
astro_00177,Small Solar System Bodies,5,What is the Kuiper Belt?,A region of asteroids,A region of comets beyond Neptune,A type of comet,A spacecraft mission,B,The Kuiper Belt is a region beyond Neptune containing many icy bodies and short-period comets.,en
astro_00178,Space Observation,5,What is the Lagrange point L2?,A point between Earth and Moon,A point 1.5 million km from Earth,A point on Earth's surface,A point near the Sun,B,Lagrange point L2 is located about 1.5 million kilometers from Earth opposite the Sun where JWST operates.,en
astro_00179,Space Observation,2,What is the largest optical telescope currently in operation?,Hubble Space Telescope,Keck Observatory,Very Large Telescope,Extremely Large Telescope,C,The Very Large Telescope (VLT) in Chile is currently among the largest optical telescopes in operation.,en
astro_00180,Solar System,1,What is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C,Jupiter is the largest planet in our Solar System with a mass greater than all other planets combined.,en
astro_00181,Space Observation,10,What is the Laser Interferometer Space Antenna (LISA)?,Space-based gravitational wave detector,Optical space telescope,Radio telescope array,Particle physics experiment,A,LISA will be a space-based gravitational wave detector using laser interferometry between three spacecraft.,en
astro_00182,Space Missions,6,What is the LISA mission designed to detect?,Gravitational waves from space,Exoplanet atmospheres,Solar neutrinos,Cosmic rays,A,LISA (Laser Interferometer Space Antenna) will detect gravitational waves from space using laser interferometry.,en
astro_00183,Galaxies & Cosmology,5,What is the Local Group?,Our galaxy cluster,Our star cluster,Our planetary system,Our solar neighborhood,A,The Local Group is the galaxy cluster containing the Milky Way Andromeda and about 80 other galaxies.,en
astro_00184,Space Observation,5,What is the main advantage of radio telescopes?,They work during the day,They can penetrate dust clouds,They are cheaper to build,They don't need mirrors,B,Radio telescopes can observe through dust clouds that block optical light revealing hidden regions of space.,en
astro_00185,Space Observation,5,What is the main advantage of the Hubble Space Telescope?,Large size,Space location,Advanced instruments,Long operation time,B,Hubble's main advantage is its location in space avoiding atmospheric distortion and absorption.,en
astro_00186,Stellar Objects,7,What is the main difference between Type Ia and Type II supernovae?,Age of the star,Mass of the star,Type of explosion mechanism,Location in galaxy,C,Type Ia supernovae come from exploding white dwarfs while Type II come from core collapse of massive stars.,en
astro_00187,Relativity & Fundamental Physics,7,What is the main evidence for dark energy?,Supernova brightness,Planetary motion,Gravitational waves,Cosmic rays,A,"Distant supernovae appear dimmer than expected, suggesting accelerated expansion.",en
astro_00188,Stellar Objects,2,What is the main fuel that powers stars like our Sun?,Helium,Carbon,Hydrogen,Oxygen,C,"Stars like our Sun are powered by nuclear fusion, where hydrogen atoms fuse to form helium, releasing enormous amounts of energy.",en
astro_00189,Space Observation,4,What is the main purpose of the Kepler Space Telescope?,Study Stellar Objects,Find exoplanets,Observe galaxies,Map stars,B,Kepler was specifically designed to find Earth-like exoplanets using the transit method.,en
astro_00190,Space Missions,5,What is the main scientific goal of the Parker Solar Probe?,Study solar wind,Touch the Sun's corona,Measure solar temperature,Map solar surface,B,"The Parker Solar Probe aims to ""touch"" the Sun by flying through its corona to study solar physics.",en
astro_00191,Galaxies & Cosmology,6,What is the Mediocrity Principle?,Earth and humanity are typical,Everything is average quality,Life is mediocre everywhere,Intelligence is common,A,The Mediocrity Principle suggests Earth and humanity are typical rather than special in the universe.,en
astro_00192,Stellar Objects,6,What is the membrane paradigm for Stellar Objects?,Treating event horizon as a physical membrane,Stellar Objects having actual membranes,Multiple event horizons,Black hole interior structure,A,The membrane paradigm treats the event horizon as a physical membrane with properties like temperature and resistance.,en
astro_00193,Stellar Objects,5,What is the minimum mass required for a star to end as a Type II supernova?,4 solar masses,6 solar masses,8 solar masses,10 solar masses,C,A star must have at least 8 solar masses to end its life as a Type II core-collapse supernova.,en
astro_00194,Galaxies & Cosmology,10,What is the missing satellite problem?,Fewer observed dwarf galaxies than predicted,Missing spiral arms,Absent central Stellar Objects,Lost stellar populations,A,The missing satellite problem is that fewer dwarf galaxies are observed around the Milky Way than dark matter simulations predict.,en
astro_00195,Galaxies & Cosmology,7,What is the morphology-density relation?,Galaxy types vary with environment density,Galaxy shapes change with time,Galaxy sizes correlate with mass,Galaxy colors depend on age,A,The morphology-density relation shows that elliptical galaxies are more common in dense environments.,en
astro_00196,General Curiosities,4,What is the most abundant element in the universe?,Oxygen,Carbon,Helium,Hydrogen,D,Hydrogen is the most abundant element making up about 75% of the universe's normal matter.,en
astro_00197,Small Solar System Bodies,1,What is the most famous comet that returns every 76 years?,Comet Hale-Bopp,Halley's Comet,Comet Hyakutake,Comet NEOWISE,B,"Halley's Comet is the most famous periodic comet, returning to the inner Solar System every 75-76 years.",en
astro_00198,Galaxies & Cosmology,8,What is the most uncertain parameter in the Drake Equation?,Star formation rate,Fraction of stars with planets,Fraction developing intelligent life,Lifetime of communicating civilizations,C,The fraction of planets that develop intelligent life remains the most speculative and uncertain parameter.,en
astro_00199,Galaxies & Cosmology,6,What is the most uncertain parameter?,Fraction developing intelligent life,Star formation rate,Fraction of stars with planets,Lifetime of civilizations,A,The fraction of planets that develop intelligent life remains the most speculative and uncertain parameter.,en
astro_00200,Stellar Objects,2,What is the name of the boundary around a black hole?,Photon sphere,Event horizon,Singularity,Accretion disk,B,The event horizon marks the boundary beyond which nothing can escape a black hole.,en
astro_00201,Solar System,3,"What is the name of the interstellar comet discovered by NASA on July 1, 2025?",2I/Borisov,3I/ATLAS,1I/'Oumuamua,4I/Neowise,B,"Comet 3I/ATLAS was discovered on July 1, 2025, by the NASA-funded ATLAS survey telescope.",en
astro_00202,Space Observation,8,What is the Nancy Grace Roman Space Telescope's specialty?,Wide-field infrared surveys,Exoplanet direct imaging,Solar observation,Gravitational wave detection,A,The Roman Space Telescope will conduct wide-field infrared surveys studying dark energy and exoplanets.,en
astro_00203,Galaxies & Cosmology,5,What is the nearest major galaxy to the Milky Way?,Triangulum Galaxy,Large Magellanic Cloud,Andromeda Galaxy,Whirlpool Galaxy,C,"The Andromeda Galaxy (M31) is the nearest major galaxy to the Milky Way, about 2.5 million light-years away.",en
astro_00204,Space Observation,10,What is the next generation Very Large Array?,Next Generation Very Large Array (ngVLA),Square Kilometre Array,Extremely Large Telescope,Thirty Meter Telescope,A,The ngVLA (next generation Very Large Array) is the planned successor to the current VLA radio telescope.,en
astro_00205,Solar System,8,What is the Nice Model's prediction about Neptune?,It formed closer to the Sun,It has no solid core,It will eventually leave the Solar System,It was captured from another star,A,The Nice Model suggests Neptune formed closer to the Sun and migrated outward due to gravitational interactions.,en
astro_00206,Stellar Objects,5,What is the no-hair theorem in black hole physics?,Stellar Objects have no magnetic field,Stellar Objects are characterized by only three properties,Stellar Objects cannot rotate,Stellar Objects have no temperature,B,The no-hair theorem states that Stellar Objects are characterized by only mass electric charge and angular momentum.,en
astro_00207,Stellar Objects,6,What is the no-hair theorem?,Stellar Objects characterized by three properties only,Stellar Objects have no magnetic fields,Stellar Objects cannot rotate,Stellar Objects have no temperature,A,The no-hair theorem states Stellar Objects are characterized only by mass electric charge and angular momentum.,en
astro_00208,Small Solar System Bodies,5,What is the nucleus of a comet primarily made of?,Rock and metal,Ice and dust,Gas and plasma,Pure ice,B,"A comet's nucleus is primarily made of ice and dust often described as a ""dirty snowball.""",en
astro_00209,Worlds Beyond,8,What is the occurrence rate of Earth-like planets?,About 1 in 5 Sun-like stars,About 1 in 50 Sun-like stars,About 1 in 100 Sun-like stars,About 1 in 1000 Sun-like stars,A,Current estimates suggest about 20% of Sun-like stars have Earth-sized planets in their habitable zones.,en
astro_00210,Small Solar System Bodies,3,What is the Oort Cloud?,A region of asteroids,A region of comets,A type of nebula,A galaxy cluster,B,The Oort Cloud is a spherical region of icy objects that surrounds our Solar System and is the source of long-period comets.,en
astro_00211,Small Solar System Bodies,7,What is the Oort Cloud's estimated extent?,50000 to 100000 AU,1000 to 5000 AU,10 to 50 AU,200000 to 500000 AU,A,The Oort Cloud is estimated to extend from about 50000 to 100000 AU from the Sun.,en
astro_00212,Galaxies & Cosmology,6,What is the optimistic estimate?,Millions of communicating civilizations,Thousands of civilizations,Hundreds of civilizations,Tens of civilizations,A,Optimistic estimates of the Drake Equation suggest millions of communicating civilizations in our galaxy.,en
astro_00213,Stellar Objects,9,What is the pair-instability supernova?,Supernova from very massive stars,Binary star explosion,White dwarf explosion,Neutron star collision,A,Pair-instability supernovae occur in very massive stars (140-260 solar masses) when electron-positron pairs form in the core.,en
astro_00214,Solar System,5,What is the Parker Spiral?,The Sun's magnetic field structure,Jupiter's magnetic field lines,Saturn's ring structure,Mars' atmospheric circulation,A,The Parker Spiral describes the structure of the Sun's magnetic field as it extends through the solar system.,en
astro_00215,Relativity & Fundamental Physics,10,What is the Penrose process?,Energy extraction from rotating Stellar Objects,Black hole formation mechanism,Gravitational wave generation,Wormhole traversal method,A,The Penrose process allows energy extraction from a rotating black hole by dropping objects into the ergosphere.,en
astro_00216,Galaxies & Cosmology,8,What is the pessimistic interpretation?,Very few or no other civilizations,Civilizations are hostile,Communication is impossible,Space travel is impossible,A,Pessimistic interpretations of the Drake Equation suggest we might be alone or civilizations are extremely rare.,en
astro_00217,Relativity & Fundamental Physics,9,What is the Petrov classification?,Classification of spacetime geometries,Classification of Stellar Objects,Classification of gravitational waves,Classification of cosmic strings,A,The Petrov classification categorizes spacetime geometries based on the algebraic properties of the Weyl tensor.,en
astro_00218,General Curiosities,9,What is the Planck length?,Smallest meaningful length scale,Size of an atom,Size of a proton,Wavelength of visible light,A,The Planck length (about 10^-35 meters) is considered the smallest meaningful length scale in physics.,en
astro_00219,Space Observation,9,What is the planned successor to the Hubble Space Telescope?,James Webb Space Telescope,Nancy Grace Roman Space Telescope,Extremely Large Telescope,Square Kilometre Array,B,The Nancy Grace Roman Space Telescope is planned as Hubble's successor for wide-field optical observations.,en
astro_00220,Space Observation,9,What is the planned Thirty Meter Telescope's location?,Mauna Kea Hawaii,Atacama Desert Chile,Canary Islands Spain,Mount Wilson California,A,The Thirty Meter Telescope is planned for construction on Mauna Kea in Hawaii.,en
astro_00221,Space Observation,6,What is the primary advantage of space-based telescopes over ground-based ones?,They're cheaper to build,They avoid atmospheric interference,They're easier to maintain,They can observe longer,B,"Space-based telescopes avoid atmospheric interference, allowing for clearer observations across all wavelengths of light.",en
astro_00222,Space Observation,4,What is the primary advantage of the James Webb Space Telescope over Hubble?,Larger mirror,Infrared capability,Better location,All of the above,D,JWST has a larger mirror infrared capability and operates at the L2 Lagrange point giving it multiple advantages.,en
astro_00223,Space Observation,8,What is the primary challenge for extremely large telescopes?,Cost,Atmospheric turbulence,Mirror technology,Computer processing,B,Atmospheric turbulence is the primary challenge requiring advanced adaptive optics systems for extremely large telescopes.,en
astro_00224,Space Observation,9,What is the primary challenge for ground-based telescopes?,Atmospheric turbulence,Cost of construction,Maintenance difficulties,Light pollution,A,Atmospheric turbulence is the primary challenge limiting the resolution of ground-based telescopes.,en
astro_00225,Space Missions,3,What is the primary goal of the Ariel mission planned for 2029?,Study Mars atmosphere,Analyze exoplanet atmospheres,Explore Jupiter's moons,Map asteroid belt,B,"The Ariel mission, launching in 2029, will perform a chemical census of exoplanets by analyzing their atmospheres.",en
astro_00226,Space Missions,5,What is the primary goal of the Euclid mission?,Study dark energy and dark matter,Find exoplanets,Study the Sun,Map the Milky Way,A,The Euclid mission aims to study dark energy and dark matter by mapping the geometry of the universe.,en
astro_00227,Space Missions,3,What is the primary instrument on TESS?,Photometer,Spectrometer,Magnetometer,Interferometer,A,TESS uses photometers to detect exoplanets through the transit method by measuring stellar brightness changes.,en
astro_00228,Space Missions,4,What is the primary instrument type on the TRACERS mission?,Optical telescope,Magnetometer,Spectrometer,Radio antenna,B,TRACERS uses magnetometers to study magnetic reconnection when solar activity disrupts Earth's magnetic field.,en
astro_00229,Space Observation,4,What is the primary mirror diameter of the James Webb Space Telescope?,2.4 meters,4.2 meters,6.5 meters,8.4 meters,C,JWST has a primary mirror diameter of 6.5 meters made up of 18 hexagonal segments.,en
astro_00230,Worlds Beyond,7,What is the radial velocity method for detecting exoplanets?,Measuring planet's speed,Measuring star's wobble,Measuring planet's temperature,Measuring star's brightness,B,The radial velocity method detects exoplanets by measuring the wobble of the host star caused by gravitational pull.,en
astro_00231,Galaxies & Cosmology,7,What is the Rare Earth Hypothesis?,Earth is the only planet,Complex life is extremely rare,Earth is perfectly positioned,Earth has rare elements,B,The Rare Earth Hypothesis suggests that complex life requires such specific conditions that it's extremely rare in the universe.,en
astro_00232,Space Observation,6,What is the resolution limit of a telescope determined by?,Its cost,Its location,Its aperture size,Its age,C,The resolution limit of a telescope is primarily determined by the size of its aperture (mirror or dish diameter).,en
astro_00233,Space Missions,8,What is the Roman Space Telescope's primary survey?,Wide-field infrared survey,X-ray all-sky survey,Radio sky survey,Gamma-ray survey,A,The Nancy Grace Roman Space Telescope will conduct wide-field infrared surveys of the universe.,en
astro_00234,Worlds Beyond,5,What is the Rossiter-McLaughlin effect?,Spectral line distortion during transit,Planetary magnetic field detection,Atmospheric escape measurement,Orbital decay observation,A,The Rossiter-McLaughlin effect is the distortion of stellar spectral lines during planetary transits revealing spin-orbit alignment.,en
astro_00235,Small Solar System Bodies,9,What is the rubble pile structure?,Asteroids as loose aggregates,Solid rock asteroids,Metallic asteroids,Icy asteroids,A,Many asteroids have a rubble pile structure consisting of loose aggregates of rocks held together by weak gravity.,en
astro_00236,Stellar Objects,6,What is the s-process in stellar nucleosynthesis?,Slow neutron capture,Slow proton capture,Stellar spin process,Surface convection process,A,The s-process (slow neutron capture) creates heavy elements in asymptotic giant branch stars over thousands of years.,en
astro_00237,Relativity & Fundamental Physics,7,What is the Schwarzschild radius?,The event horizon radius,The photon sphere radius,The ergosphere radius,The ISCO radius,A,The Schwarzschild radius defines the event horizon of a non-rotating black hole.,en
astro_00238,Galaxies & Cosmology,10,What is the Seager Equation?,An equation for exoplanets,A modification of Drake Equation,An equation for biosignatures,All of the above,D,The Seager Equation is Sara Seager's modification focusing on biosignatures in exoplanet atmospheres.,en
astro_00239,Galaxies & Cosmology,8,What is the Seager Equation's focus?,Biosignatures in exoplanet atmospheres,Radio signals from space,Optical signals from civilizations,Gravitational wave communications,A,The Seager Equation focuses on detecting biosignatures in exoplanet atmospheres rather than radio communications.,en
astro_00240,Galaxies & Cosmology,8,What is the Simulation Hypothesis in relation to the Fermi Paradox?,We live in a computer simulation,Aliens use simulations,Space is simulated,Time is simulated,A,The Simulation Hypothesis suggests we might be living in a computer simulation which could explain the apparent absence of aliens.,en
astro_00241,Galaxies & Cosmology,9,What is the Simulation Hypothesis?,We live in a computer simulation,Aliens use simulations,Reality is simulated,Time is simulated,A,The Simulation Hypothesis suggests we might be living in a computer simulation explaining the apparent absence of aliens.,en
astro_00242,Space Missions,6,What is the Solar Orbiter's unique capability?,Observing Sun's polar regions,Landing on the Sun,Touching the corona,Measuring solar wind,A,Solar Orbiter will provide the first images of the Sun's polar regions by flying out of the ecliptic plane.,en
astro_00243,Relativity & Fundamental Physics,1,What is the speed of light in vacuum?,"30,000 km/s","300,000 km/s","3,000 km/s","3,000,000 km/s",B,"Light travels at approximately 300,000 kilometers per second in vacuum.",en
astro_00244,Space Observation,9,What is the Square Kilometre Array (SKA)?,A large optical telescope,A radio telescope array,A space telescope,A gravitational wave detector,B,The SKA will be the world's largest radio telescope array when completed.,en
astro_00245,Space Observation,8,What is the Square Kilometre Array's advantage?,Unprecedented sensitivity and resolution,Largest single dish,Highest altitude location,Most advanced computers,A,The SKA will provide unprecedented sensitivity and resolution through its vast collecting area.,en
astro_00246,Galaxies & Cosmology,9,What is the Statistical Drake Equation?,A more precise version,A version using probability distributions,A simplified version,A version for multiple galaxies,B,The Statistical Drake Equation uses probability distributions rather than single values for each parameter.,en
astro_00247,Small Solar System Bodies,8,What is the streaming instability in asteroid formation?,Dust concentration mechanism,Gravitational collapse,Magnetic field effects,Solar wind pressure,A,The streaming instability concentrates dust particles in protoplanetary disks leading to asteroid and planetesimal formation.,en
astro_00248,Solar System,10,What is the streaming instability?,Planet formation mechanism,Solar wind acceleration,Magnetic field reconnection,Atmospheric turbulence,A,The streaming instability is a mechanism that concentrates dust particles in protoplanetary disks leading to planetesimal formation.,en
astro_00249,Small Solar System Bodies,6,What is the sublimation process in comets?,Direct transition from ice to gas,Melting then evaporation,Chemical decomposition,Nuclear fusion,A,Sublimation is the direct transition of ice to gas without melting which creates a comet's coma and tail.,en
astro_00250,Galaxies & Cosmology,8,What is the Sunyaev-Zel'dovich effect?,CMB distortion by galaxy clusters,Galaxy rotation curves,Galactic magnetic fields,Stellar formation rates,A,The Sunyaev-Zel'dovich effect is the distortion of cosmic microwave background radiation by hot gas in galaxy clusters.,en
astro_00251,General Curiosities,2,What is the temperature of space?,Absolute zero,Very cold but not absolute zero,Room temperature,It varies greatly,B,Space has a temperature of about 2.7 Kelvin due to the cosmic microwave background radiation.,en
astro_00252,Galaxies & Cosmology,9,What is the temporal aspect of the Drake Equation?,Civilizations existing at different times,How long civilizations last,When life begins,Speed of evolution,A,The temporal aspect considers that civilizations may exist at different times making contact unlikely even if many exist.,en
astro_00253,Space Observation,10,What is the theoretical resolution limit called?,Rayleigh criterion,Dawes limit,Airy disk,All of the above,D,The theoretical resolution limit involves all these concepts: Rayleigh criterion Dawes limit and Airy disk.,en
astro_00254,Space Observation,8,What is the theoretical resolution limit formula?,θ = 1.22λ/D,θ = λ/D,θ = 2λ/D,θ = 0.5λ/D,A,The theoretical resolution limit (Rayleigh criterion) is θ = 1.22λ/D where λ is wavelength and D is aperture diameter.,en
