baseId,topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation,language,question_pt,optionA_pt,optionB_pt,optionC_pt,optionD_pt,explanation_pt,topic_pt,question_es,optionA_es,optionB_es,optionC_es,optionD_es,explanation_es,topic_es,question_fr,optionA_fr,optionB_fr,optionC_fr,optionD_fr,explanation_fr,topic_fr
astro_00056,Galaxies & Cosmology,5,What is a galaxy cluster?,A group of stars,A group of galaxies,A group of planets,A group of nebulae,B,A galaxy cluster is a gravitationally bound collection of hundreds to thousands of galaxies.,en,O que é um aglomerado de galáxias?,Um grupo de estrelas,Um grupo de galáxias,Um grupo de planetas,Um grupo de nebulosas,Um aglomerado de galáxias é um conjunto gravitacionalmente ligado de centenas a milhares de galáxias.,Galáxias e Cosmologia,¿Qué es un cúmulo de galaxias?,Un grupo de estrellas,Un grupo de galaxias,Un grupo de planetas,Un grupo de nebulosas,Un cúmulo de galaxias es un conjunto de cientos o miles de galaxias ligadas gravitacionalmente.,Galaxias y cosmología,Qu'est-ce qu'un amas de galaxies ?,Un groupe d'étoiles,Un groupe de galaxies,Un groupe de planètes,Un groupe de nébuleuses,Un amas de galaxies est un ensemble de centaines ou de milliers de galaxies liées par la gravitation.,Galaxies et cosmologie
astro_00057,Worlds Beyond,4,What is a hot Jupiter?,A very hot star,A Jupiter-like planet close to its star,A planet made of hot gas,A star similar to Jupiter,B,A hot Jupiter is a gas giant exoplanet that orbits very close to its host star.,en,O que é um Júpiter quente?,Uma estrela muito quente,Um planeta semelhante a Júpiter próximo de sua estrela,Um planeta feito de gás quente,Uma estrela semelhante a Júpiter,Um Júpiter quente é um exoplaneta gigante gasoso que orbita muito próximo de sua estrela hospedeira.,Mundos além,¿Qué es un Júpiter caliente?,Una estrella muy caliente,Un planeta parecido a Júpiter cerca de su estrella,Un planeta hecho de gas caliente,Una estrella similar a Júpiter,Un Júpiter caliente es un exoplaneta gigante gaseoso que orbita muy cerca de su estrella anfitriona.,Mundos más allá,Qu'est-ce qu'un Jupiter chaud ?,Une étoile très chaude,Une planète de type Jupiter proche de son étoile,Une planète composée de gaz chauds,Une étoile semblable à Jupiter,Un Jupiter chaud est une exoplanète géante gazeuse qui orbite très près de son étoile hôte.,Les mondes au-delà
astro_00058,Small Solar System Bodies,1,What is a key difference between comets and asteroids?,Comets have tails; asteroids do not,Asteroids are icy,Comets orbit Earth,Asteroids are found in the Kuiper Belt,A,Comets have tails when near the Sun due to sublimation of ices.,en,Qual é a principal diferença entre cometas e asteroides?,Os cometas têm caudas; os asteroides não,Os asteroides são gelados,Os cometas orbitam a Terra,Os asteroides são encontrados no Cinturão de Kuiper,Os cometas têm caudas quando estão próximos ao Sol devido à sublimação de gelo.,Pequenos corpos do sistema solar,¿Cuál es la principal diferencia entre cometas y asteroides?,"Los cometas tienen cola; los asteroides, no",Los asteroides son helados,Los cometas orbitan la Tierra,Los asteroides se encuentran en el Cinturón de Kuiper,Los cometas tienen cola cuando se acercan al Sol debido a la sublimación de los hielos.,Cuerpos pequeños del Sistema Solar,Quelle est la principale différence entre les comètes et les astéroïdes ?,"Les comètes ont une queue, les astéroïdes n'en ont pas.",Les astéroïdes sont glacés,Les comètes en orbite autour de la Terre,Les astéroïdes se trouvent dans la ceinture de Kuiper,"Les comètes ont des queues lorsqu'elles sont proches du Soleil, en raison de la sublimation des glaces.",Petits corps du système solaire
astro_00059,Relativity & Fundamental Physics,2,What is a light-year a measure of?,Time,Distance,Mass,Brightness,B,A light-year measures the distance light travels in one year.,en,Qual é a medida de um ano-luz?,Tempo,Distância,Massa,Brilho,Um ano-luz mede a distância que a luz percorre em um ano.,Relatividade e física fundamental,¿Qué mide un año luz?,Tiempo,Distancia,Masa,Luminosidad,Un año-luz mide la distancia que recorre la luz en un año.,Relatividad y física fundamental,Qu'est-ce qu'une année-lumière ?,L'heure,Distance,Masse,Luminosité,Une année-lumière mesure la distance parcourue par la lumière en un an.,Relativité et physique fondamentale
astro_00060,Small Solar System Bodies,3,What is a meteor shower?,Earth passing through comet debris,Asteroid fragments,Solar particles,Cosmic dust,A,Meteor showers occur when Earth passes through debris trails left by comets creating multiple meteors from the same radiant.,en,O que é uma chuva de meteoros?,Terra passando por detritos de cometa,Fragmentos de asteroides,Partículas solares,Poeira cósmica,"As chuvas de meteoros ocorrem quando a Terra passa por rastros de detritos deixados por cometas, criando vários meteoros a partir do mesmo radiante.",Pequenos corpos do sistema solar,¿Qué es una lluvia de meteoritos?,La Tierra atraviesa los restos de un cometa,Fragmentos de asteroides,Partículas solares,Polvo cósmico,"Las lluvias de meteoros se producen cuando la Tierra atraviesa las estelas de escombros dejadas por los cometas, creando múltiples meteoros procedentes del mismo radiante.",Cuerpos pequeños del Sistema Solar,Qu'est-ce qu'une pluie de météores ?,La Terre traverse des débris de comète,Fragments d'astéroïdes,Particules solaires,Poussière cosmique,"Les pluies de météores se produisent lorsque la Terre traverse des traînées de débris laissées par des comètes, créant ainsi plusieurs météores à partir du même radiant.",Petits corps du système solaire
astro_00061,Worlds Beyond,5,What is a mini-Neptune?,Planet between Earth and Neptune size,Small version of Neptune,Neptune's moon,Neptune-like atmosphere,A,Mini-Neptunes are planets with radii between Earth and Neptune common among discovered exoplanets.,en,O que é um mini-Netuno?,Planeta com tamanho entre a Terra e Netuno,Versão pequena de Netuno,Lua de Netuno,Atmosfera semelhante à de Netuno,"Os minineptunos são planetas com raios entre a Terra e Netuno, comuns entre os exoplanetas descobertos.",Mundos além,¿Qué es un mini-Neptuno?,Planeta entre la Tierra y Neptuno tamaño,Pequeña versión de Neptuno,Luna de Neptuno,Atmósfera similar a la de Neptuno,"Los mini-Neptunos son planetas con radios comprendidos entre la Tierra y Neptuno, comunes entre los exoplanetas descubiertos.",Mundos más allá,Qu'est-ce qu'une mini-Neptune ?,Planète située entre la Terre et Neptune,Petite version de Neptune,La lune de Neptune,Une atmosphère semblable à celle de Neptune,Les mini-Neptunes sont des planètes dont le rayon se situe entre celui de la Terre et celui de Neptune et qui sont courantes parmi les exoplanètes découvertes.,Les mondes au-delà
astro_00062,Small Solar System Bodies,4,What is a near-Earth object (NEO)?,An object near Earth's surface,An asteroid or comet with an orbit close to Earth,A satellite of Earth,A piece of space debris,B,A near-Earth object is an asteroid or comet whose orbit brings it close to Earth's orbit.,en,O que é um objeto próximo à Terra (NEO)?,Um objeto próximo à superfície da Terra,Um asteroide ou cometa com uma órbita próxima à Terra,Um satélite da Terra,Um pedaço de detrito espacial,Um objeto próximo à Terra é um asteroide ou cometa cuja órbita o aproxima da órbita da Terra.,Pequenos corpos do sistema solar,¿Qué es un objeto cercano a la Tierra (NEO)?,Un objeto cercano a la superficie terrestre,Un asteroide o cometa con una órbita cercana a la Tierra,Un satélite de la Tierra,Un trozo de basura espacial,Un objeto cercano a la Tierra es un asteroide o cometa cuya órbita lo acerca a la órbita terrestre.,Cuerpos pequeños del Sistema Solar,Qu'est-ce qu'un objet géocroiseur (NEO) ?,Un objet proche de la surface de la Terre,Un astéroïde ou une comète dont l'orbite est proche de la Terre,Un satellite de la Terre,Un débris spatial,Un objet géocroiseur est un astéroïde ou une comète dont l'orbite le rapproche de l'orbite terrestre.,Petits corps du système solaire
astro_00063,Relativity & Fundamental Physics,5,What is a neutron star?,A dense gas cloud,Collapsed core of a massive star,A baby star,A rogue planet,B,Neutron stars are remnants of supernova explosions from massive stars.,en,O que é uma estrela de nêutrons?,Uma nuvem de gás densa,Núcleo em colapso de uma estrela maciça,Uma estrela bebê,Um planeta desonesto,As estrelas de nêutrons são remanescentes de explosões de supernovas de estrelas maciças.,Relatividade e física fundamental,¿Qué es una estrella de neutrones?,Una densa nube de gas,Núcleo colapsado de una estrella masiva,Una estrella bebé,Un planeta rebelde,Las estrellas de neutrones son restos de explosiones de supernovas de estrellas masivas.,Relatividad y física fundamental,Qu'est-ce qu'une étoile à neutrons ?,Un nuage de gaz dense,Noyau effondré d'une étoile massive,Un bébé étoile,Une planète rebelle,Les étoiles à neutrons sont des vestiges d'explosions de supernovas d'étoiles massives.,Relativité et physique fondamentale
astro_00064,Galaxies & Cosmology,6,What is a quasar?,A type of star,An active galactic nucleus,A type of planet,A stellar explosion,B,A quasar is an extremely luminous active galactic nucleus powered by a supermassive black hole.,en,O que é um quasar?,Um tipo de estrela,Um núcleo galáctico ativo,Um tipo de planeta,Uma explosão estelar,Um quasar é um núcleo galáctico ativo extremamente luminoso alimentado por um buraco negro supermassivo.,Galáxias e Cosmologia,¿Qué es un cuásar?,Un tipo de estrella,Un núcleo galáctico activo,Un tipo de planeta,Una explosión estelar,Un cuásar es un núcleo galáctico activo extremadamente luminoso alimentado por un agujero negro supermasivo.,Galaxias y cosmología,Qu'est-ce qu'un quasar ?,Un type d'étoile,Un noyau actif de galaxie,Un type de planète,Une explosion stellaire,Un quasar est un noyau actif de galaxie extrêmement lumineux alimenté par un trou noir supermassif.,Galaxies et cosmologie
astro_00065,Galaxies & Cosmology,4,What is a starburst galaxy?,A galaxy forming many stars rapidly,A galaxy with exploding stars,A galaxy shaped like a star,A galaxy orbiting a star,A,A starburst galaxy is undergoing an exceptionally high rate of star formation.,en,O que é uma galáxia starburst?,Uma galáxia que forma muitas estrelas rapidamente,Uma galáxia com estrelas em explosão,Uma galáxia com o formato de uma estrela,Uma galáxia orbitando uma estrela,Uma galáxia starburst está passando por uma taxa excepcionalmente alta de formação de estrelas.,Galáxias e Cosmologia,¿Qué es una galaxia estrellada?,Una galaxia que forma muchas estrellas rápidamente,Una galaxia con estrellas en explosión,Una galaxia con forma de estrella,Una galaxia en órbita alrededor de una estrella,Una galaxia con brote estelar experimenta un ritmo excepcionalmente elevado de formación estelar.,Galaxias y cosmología,Qu'est-ce qu'une galaxie à flambée d'étoiles ?,Une galaxie formant rapidement de nombreuses étoiles,Une galaxie avec des étoiles qui explosent,Une galaxie en forme d'étoile,Une galaxie en orbite autour d'une étoile,Une galaxie à flambée d'étoiles connaît un taux de formation d'étoiles exceptionnellement élevé.,Galaxies et cosmologie
astro_00066,Worlds Beyond,6,What is a super-Earth?,A planet larger than Earth,A very habitable planet,A planet with superpowers,A planet orbiting a supergiant,A,A super-Earth is an exoplanet with a mass larger than Earth's but smaller than Neptune's.,en,O que é uma super-Terra?,Um planeta maior que a Terra,Um planeta muito habitável,Um planeta com superpoderes,Um planeta em órbita de uma supergigante,"Uma super-Terra é um exoplaneta com uma massa maior que a da Terra, mas menor que a de Netuno.",Mundos além,¿Qué es una super-Tierra?,Un planeta mayor que la Tierra,Un planeta muy habitable,Un planeta con superpoderes,Un planeta en órbita alrededor de una supergigante,Una supertierra es un exoplaneta con una masa superior a la de la Tierra pero inferior a la de Neptuno.,Mundos más allá,Qu'est-ce qu'une super-Terre ?,Une planète plus grande que la Terre,Une planète très habitable,Une planète dotée de superpouvoirs,Une planète en orbite autour d'une supergéante,Une super-Terre est une exoplanète dont la masse est supérieure à celle de la Terre mais inférieure à celle de Neptune.,Les mondes au-delà
astro_00067,Stellar Objects,7,What is a Thorne-Żytkow object?,A neutron star inside a red giant,A black hole-neutron star binary,A white dwarf-red giant system,A pulsar with a planetary system,A,A Thorne-Żytkow object is a theoretical hybrid star with a neutron star core surrounded by a red giant envelope.,en,O que é um objeto de Thorne-Żytkow?,Uma estrela de nêutrons dentro de uma gigante vermelha,Um binário buraco negro-estrela de nêutrons,Um sistema de anã branca e gigante vermelha,Um pulsar com um sistema planetário,Um objeto Thorne-Żytkow é uma estrela híbrida teórica com um núcleo de estrela de nêutrons cercado por um envelope de gigante vermelha.,Objetos estelares,¿Qué es un objeto Thorne-Żytkow?,Una estrella de neutrones dentro de una gigante roja,Un binario agujero negro-estrella de neutrones,Un sistema enana blanca-gigante roja,Un púlsar con un sistema planetario,Un objeto Thorne-Żytkow es una estrella híbrida teórica con un núcleo de estrella de neutrones rodeado por una envoltura de gigante roja.,Objetos estelares,Qu'est-ce qu'un objet de Thorne-Żytkow ?,Une étoile à neutrons à l'intérieur d'une géante rouge,Un trou noir et une étoile à neutrons binaires,Un système naine blanche-géante rouge,Un pulsar avec un système planétaire,Un objet de Thorne-Żytkow est une étoile hybride théorique dont le cœur est une étoile à neutrons entourée d'une enveloppe de géante rouge.,Objets stellaires
astro_00068,Worlds Beyond,5,What is a tidally locked planet?,A planet with no moons,A planet that doesn't rotate,A planet with one side always facing its star,A planet with extreme seasons,C,A tidally locked planet has one side permanently facing its star like the Moon faces Earth.,en,O que é um planeta com bloqueio tideral?,Um planeta sem luas,Um planeta que não gira,Um planeta com um lado sempre voltado para sua estrela,Um planeta com estações extremas,"Um planeta com bloqueio tidal tem um lado permanentemente voltado para sua estrela, como a Lua está voltada para a Terra.",Mundos além,¿Qué es un planeta con bloqueo mareal?,Un planeta sin lunas,Un planeta que no gira,Un planeta con una cara siempre orientada hacia su estrella,Un planeta con estaciones extremas,"Un planeta con bloqueo mareal tiene un lado permanentemente orientado hacia su estrella, como la Luna hacia la Tierra.",Mundos más allá,Qu'est-ce qu'une planète à verrouillage tidial ?,Une planète sans lunes,Une planète qui ne tourne pas,Une planète dont l'une des faces est toujours orientée vers son étoile,Une planète aux saisons extrêmes,"Une planète verrouillée par la marée a une face orientée en permanence vers son étoile, comme la Lune vers la Terre.",Les mondes au-delà
astro_00069,Stellar Objects,7,What is a white hole in theoretical physics?,The opposite of a black hole,A very bright star,A type of neutron star,A theoretical time machine,A,A white hole is a theoretical object that is the time-reverse of a black hole expelling matter and energy.,en,O que é um buraco branco na física teórica?,O oposto de um buraco negro,Uma estrela muito brilhante,Um tipo de estrela de nêutrons,Uma máquina do tempo teórica,Um buraco branco é um objeto teórico que é o inverso no tempo de um buraco negro que expele matéria e energia.,Objetos estelares,¿Qué es un agujero blanco en física teórica?,Lo contrario de un agujero negro,Una estrella muy brillante,Un tipo de estrella de neutrones,Una máquina del tiempo teórica,Un agujero blanco es un objeto teórico que es el reverso temporal de un agujero negro que expulsa materia y energía.,Objetos estelares,Qu'est-ce qu'un trou blanc en physique théorique ?,Le contraire d'un trou noir,Une étoile très brillante,Un type d'étoile à neutrons,Une machine à remonter le temps théorique,Un trou blanc est un objet théorique qui est l'inverse temporel d'un trou noir expulsant de la matière et de l'énergie.,Objets stellaires
astro_00070,Space Observation,7,What is adaptive optics?,Adjusting telescope mirrors,Correcting atmospheric distortion,Changing telescope focus,Rotating telescope orientation,B,Adaptive optics systems correct for atmospheric distortion in real-time to improve image quality.,en,O que é óptica adaptativa?,Ajuste dos espelhos do telescópio,Correção da distorção atmosférica,Alteração do foco do telescópio,Orientação do telescópio giratório,Os sistemas de óptica adaptativa corrigem a distorção atmosférica em tempo real para melhorar a qualidade da imagem.,Observação do espaço,¿Qué es la óptica adaptativa?,Ajuste de los espejos del telescopio,Corrección de la distorsión atmosférica,Cambiar el enfoque del telescopio,Orientación del telescopio giratorio,Los sistemas de óptica adaptativa corrigen la distorsión atmosférica en tiempo real para mejorar la calidad de la imagen.,Observación espacial,Qu'est-ce que l'optique adaptative ?,Réglage des miroirs du télescope,Correction de la distorsion atmosphérique,Changer la mise au point du télescope,Orientation du télescope rotatif,Les systèmes d'optique adaptative corrigent la distorsion atmosphérique en temps réel pour améliorer la qualité de l'image.,Observation de l'espace
astro_00071,Stellar Objects,9,What is AdS/CFT correspondence?,Duality between gravity and field theory,Black hole classification system,Spacetime curvature formula,Quantum gravity theory,A,AdS/CFT correspondence is a theoretical duality between gravity in Anti-de Sitter space and conformal field theory.,en,O que é a correspondência AdS/CFT?,Dualidade entre a gravidade e a teoria de campo,Sistema de classificação de buracos negros,Fórmula da curvatura do espaço-tempo,Teoria da gravidade quântica,A correspondência AdS/CFT é uma dualidade teórica entre a gravidade no espaço Anti-de Sitter e a teoria do campo conformacional.,Objetos estelares,¿Qué es la correspondencia AdS/CFT?,Dualidad entre gravedad y teoría de campos,Sistema de clasificación de agujeros negros,Fórmula de la curvatura del espaciotiempo,Teoría de la gravedad cuántica,La correspondencia AdS/CFT es una dualidad teórica entre la gravedad en el espacio Anti-de Sitter y la teoría del campo conforme.,Objetos estelares,Qu'est-ce que la correspondance AdS/CFT ?,Dualité entre la gravité et la théorie des champs,Système de classification des trous noirs,Formule de courbure du temps spatial,Théorie de la gravité quantique,La correspondance AdS/CFT est une dualité théorique entre la gravité dans l'espace d'Anti-de Sitter et la théorie des champs conformes.,Objets stellaires
astro_00072,Worlds Beyond,9,What is an exoplanet?,A moon outside the Solar System,A star in another galaxy,A planet outside the Solar System,A comet,C,Exoplanets are planets that orbit stars beyond our Solar System.,en,O que é um exoplaneta?,Uma lua fora do Sistema Solar,Uma estrela em outra galáxia,Um planeta fora do Sistema Solar,Um cometa,Exoplanetas são planetas que orbitam estrelas além do nosso Sistema Solar.,Mundos além,¿Qué es un exoplaneta?,Una luna fuera del Sistema Solar,Una estrella en otra galaxia,Un planeta fuera del Sistema Solar,Un cometa,Los exoplanetas son planetas que orbitan alrededor de estrellas situadas más allá de nuestro Sistema Solar.,Mundos más allá,Qu'est-ce qu'une exoplanète ?,Une lune en dehors du système solaire,Une étoile dans une autre galaxie,Une planète en dehors du système solaire,Une comète,Les exoplanètes sont des planètes en orbite autour d'étoiles situées au-delà de notre système solaire.,Les mondes au-delà
astro_00073,Galaxies & Cosmology,4,What is at the center of most galaxies?,A neutron star,A supermassive black hole,A white dwarf,A pulsar,B,"Most galaxies, including the Milky Way, have supermassive Stellar Objects at their centers.",en,O que está no centro da maioria das galáxias?,Uma estrela de nêutrons,Um buraco negro supermassivo,Uma anã branca,Um pulsar,"A maioria das galáxias, incluindo a Via Láctea, tem objetos estelares supermassivos em seus centros.",Galáxias e Cosmologia,¿Qué hay en el centro de la mayoría de las galaxias?,Una estrella de neutrones,Un agujero negro supermasivo,Una enana blanca,Un púlsar,"La mayoría de las galaxias, incluida la Vía Láctea, tienen Objetos Estelares supermasivos en sus centros.",Galaxias y cosmología,Qu'est-ce qui se trouve au centre de la plupart des galaxies ?,Une étoile à neutrons,Un trou noir supermassif,Une naine blanche,Un pulsar,"La plupart des galaxies, y compris la Voie lactée, ont en leur centre des objets stellaires supermassifs.",Galaxies et cosmologie
astro_00074,Worlds Beyond,8,What is atmospheric characterization of exoplanets?,Studying planet surfaces,Studying planet atmospheres,Studying planet orbits,Studying planet formation,B,Atmospheric characterization involves studying the composition and properties of exoplanet atmospheres.,en,O que é a caracterização atmosférica dos exoplanetas?,Estudo das superfícies dos planetas,Estudo das atmosferas dos planetas,Estudo das órbitas dos planetas,Estudo da formação de planetas,A caracterização atmosférica envolve o estudo da composição e das propriedades das atmosferas de exoplanetas.,Mundos além,¿Qué es la caracterización atmosférica de los exoplanetas?,Estudio de la superficie de los planetas,Estudio de las atmósferas planetarias,Estudio de las órbitas planetarias,Estudiar la formación de planetas,La caracterización atmosférica consiste en estudiar la composición y las propiedades de las atmósferas de los exoplanetas.,Mundos más allá,Qu'est-ce que la caractérisation atmosphérique des exoplanètes ?,Étudier la surface des planètes,Étudier les atmosphères des planètes,L'étude des orbites des planètes,Étudier la formation des planètes,La caractérisation atmosphérique consiste à étudier la composition et les propriétés de l'atmosphère des exoplanètes.,Les mondes au-delà
astro_00075,Worlds Beyond,6,What is atmospheric characterization?,Studying exoplanet atmosphere composition,Measuring planetary mass,Calculating orbital periods,Determining planetary radius,A,Atmospheric characterization involves studying the composition and properties of exoplanet atmospheres using spectroscopy.,en,O que é caracterização atmosférica?,Estudo da composição da atmosfera de exoplanetas,Medição da massa planetária,Cálculo de períodos orbitais,Determinação do raio planetário,A caracterização atmosférica envolve o estudo da composição e das propriedades das atmosferas de exoplanetas usando espectroscopia.,Mundos além,¿Qué es la caracterización atmosférica?,Estudiar la composición de la atmósfera de los exoplanetas,Medición de la masa planetaria,Cálculo de los periodos orbitales,Determinación del radio planetario,La caracterización atmosférica consiste en estudiar la composición y las propiedades de las atmósferas de los exoplanetas mediante espectroscopia.,Mundos más allá,Qu'est-ce que la caractérisation atmosphérique ?,Étudier la composition de l'atmosphère des exoplanètes,Mesurer la masse des planètes,Calcul des périodes orbitales,Détermination du rayon planétaire,La caractérisation atmosphérique consiste à étudier la composition et les propriétés de l'atmosphère des exoplanètes à l'aide de la spectroscopie.,Les mondes au-delà
astro_00076,Stellar Objects,8,What is black hole complementarity?,Information appears both destroyed and preserved,Stellar Objects have complements,Information exists in multiple forms,Observers see different realities,A,Black hole complementarity suggests information appears destroyed to outside observers but preserved to infalling observers.,en,O que é complementaridade de buraco negro?,As informações aparecem tanto destruídas quanto preservadas,Os objetos estelares têm complementos,As informações existem em várias formas,Os observadores veem realidades diferentes,"A complementaridade do buraco negro sugere que as informações parecem destruídas para observadores externos, mas preservadas para observadores em queda.",Objetos estelares,¿Qué es la complementariedad de los agujeros negros?,La información aparece tanto destruida como conservada,Los objetos estelares tienen complementos,La información existe en múltiples formas,Los observadores ven realidades diferentes,"La complementariedad de los agujeros negros sugiere que la información aparece destruida para los observadores externos, pero preservada para los observadores infalibles.",Objetos estelares,Qu'est-ce que la complémentarité des trous noirs ?,L'information apparaît à la fois détruite et préservée,Les objets stellaires ont des compléments,L'information existe sous de multiples formes,Les observateurs voient des réalités différentes,La complémentarité des trous noirs suggère que l'information semble détruite pour les observateurs extérieurs mais préservée pour les observateurs en fusion.,Objets stellaires
astro_00077,Stellar Objects,6,What is convective overshooting?,Mixing beyond convective boundaries,Surface convection patterns,Core convection instabilities,Stellar wind acceleration,A,Convective overshooting occurs when convective motions extend beyond the formal convective boundary mixing stellar material.,en,O que é o overshooting convectivo?,Mistura além dos limites convectivos,Padrões de convecção da superfície,Instabilidades de convecção do núcleo,Aceleração do vento estelar,A ultrapassagem convectiva ocorre quando os movimentos convectivos se estendem além do limite convectivo formal que mistura o material estelar.,Objetos estelares,¿Qué es el rebasamiento convectivo?,Mezcla más allá de los límites convectivos,Patrones de convección en superficie,Inestabilidades de convección del núcleo,Aceleración del viento estelar,El rebasamiento convectivo se produce cuando los movimientos convectivos se extienden más allá del límite convectivo formal mezclando material estelar.,Objetos estelares,Qu'est-ce que le dépassement convectif ?,Mélange au-delà des limites de la convection,Modèles de convection en surface,Instabilités de la convection centrale,Accélération du vent stellaire,Le dépassement convectif se produit lorsque les mouvements convectifs s'étendent au-delà de la limite convective formelle mélangeant la matière stellaire.,Objets stellaires
astro_00078,Relativity & Fundamental Physics,7,What is dark matter believed to do?,Emit light,Slow down stars,Add mass to galaxies,Cause solar flares,C,Dark matter adds gravitational mass but does not emit light.,en,O que se acredita que a matéria escura faz?,Emitir luz,Diminuir a velocidade das estrelas,Adicionar massa às galáxias,Causa erupções solares,"A matéria escura acrescenta massa gravitacional, mas não emite luz.",Relatividade e física fundamental,¿Qué se cree que hace la materia oscura?,Emitir luz,Estrellas lentas,Añadir masa a las galaxias,Provocar erupciones solares,La materia oscura añade masa gravitatoria pero no emite luz.,Relatividad y física fundamental,Quel est le rôle supposé de la matière noire ?,Émettre de la lumière,Ralentir les étoiles,Ajouter de la masse aux galaxies,Provoquer des éruptions solaires,La matière noire ajoute une masse gravitationnelle mais n'émet pas de lumière.,Relativité et physique fondamentale
astro_00079,Galaxies & Cosmology,8,What is dark matter's role in galaxy formation?,It provides energy,It provides structure,It provides light,It provides heat,B,Dark matter provides the gravitational scaffolding that allows normal matter to form galaxies and larger structures.,en,Qual é o papel da matéria escura na formação das galáxias?,Ele fornece energia,Ele fornece estrutura,Ele fornece luz,Ele fornece calor,A matéria escura fornece a estrutura gravitacional que permite que a matéria normal forme galáxias e estruturas maiores.,Galáxias e Cosmologia,¿Qué papel desempeña la materia oscura en la formación de las galaxias?,Proporciona energía,Proporciona estructura,Proporciona luz,Proporciona calor,La materia oscura proporciona el andamiaje gravitatorio que permite a la materia normal formar galaxias y estructuras mayores.,Galaxias y cosmología,Quel est le rôle de la matière noire dans la formation des galaxies ?,Il fournit de l'énergie,Il fournit une structure,Il fournit de la lumière,Il fournit de la chaleur,La matière noire fournit l'échafaudage gravitationnel qui permet à la matière normale de former des galaxies et des structures plus importantes.,Galaxies et cosmologie
astro_00080,Relativity & Fundamental Physics,8,What is frame dragging?,Time dilation,Space rotation,Length contraction,Mass increase,B,Frame dragging is the effect where rotating massive objects drag spacetime around with them.,en,O que é arrastar o quadro?,Dilatação do tempo,Rotação do espaço,Contração do comprimento,Aumento de massa,O arrastamento de quadros é o efeito em que objetos maciços em rotação arrastam o espaço-tempo com eles.,Relatividade e física fundamental,¿Qué es el arrastre de fotogramas?,Dilatación temporal,Rotación espacial,Contracción de la longitud,Aumento de masa,El arrastre de tramas es el efecto por el cual los objetos masivos en rotación arrastran consigo el espaciotiempo.,Relatividad y física fundamental,Qu'est-ce que le traînage de cadre ?,Dilatation du temps,Rotation de l'espace,Contraction de la longueur,Augmentation de la masse,L'effet de traînée est l'effet par lequel des objets massifs en rotation entraînent l'espace-temps avec eux.,Relativité et physique fondamentale
astro_00081,Stellar Objects,4,What is frame-dragging around a black hole?,Time dilation effects,Spacetime rotation effects,Gravitational lensing,Tidal forces,B,Frame-dragging is the effect where rotating massive objects drag spacetime around with them.,en,O que é o arrastamento de quadros em torno de um buraco negro?,Efeitos de dilatação do tempo,Efeitos de rotação do espaço-tempo,Lentes gravitacionais,Forças de maré,O arrastamento de quadros é o efeito em que objetos maciços em rotação arrastam o espaço-tempo com eles.,Objetos estelares,¿Qué es el arrastre de fotogramas alrededor de un agujero negro?,Efectos de dilatación temporal,Efectos de rotación del espaciotiempo,Lente gravitacional,Fuerzas de marea,El arrastre de tramas es el efecto por el cual los objetos masivos en rotación arrastran consigo el espaciotiempo.,Objetos estelares,Qu'est-ce que le traînage autour d'un trou noir ?,Effets de dilatation du temps,Effets de rotation de l'espace-temps,Lentille gravitationnelle,Forces de marée,La traînée de cadre est l'effet par lequel des objets massifs en rotation entraînent l'espace-temps avec eux.,Objets stellaires
astro_00082,Galaxies & Cosmology,7,What is galactic cannibalism?,Galaxies eating stars,Larger galaxies absorbing smaller ones,Stars eating planets,Stellar Objects eating galaxies,B,Galactic cannibalism occurs when larger galaxies gravitationally capture and absorb smaller galaxies.,en,O que é canibalismo galáctico?,Galáxias comendo estrelas,Galáxias maiores absorvendo galáxias menores,Estrelas comendo planetas,Objetos estelares que comem galáxias,O canibalismo galáctico ocorre quando galáxias maiores capturam e absorvem gravitacionalmente galáxias menores.,Galáxias e Cosmologia,¿Qué es el canibalismo galáctico?,Galaxias que comen estrellas,Las galaxias más grandes absorben a las más pequeñas,Estrellas que se comen planetas,Objetos estelares que devoran galaxias,El canibalismo galáctico se produce cuando galaxias más grandes capturan y absorben gravitacionalmente a galaxias más pequeñas.,Galaxias y cosmología,Qu'est-ce que le cannibalisme galactique ?,Les galaxies mangent des étoiles,Des galaxies plus grandes qui absorbent des galaxies plus petites,Des étoiles qui mangent des planètes,Objets stellaires mangeant des galaxies,Le cannibalisme galactique se produit lorsque des galaxies plus grandes capturent et absorbent gravitationnellement des galaxies plus petites.,Galaxies et cosmologie
