topic,level,question,optionA,optionB,optionC,optionD,correctOption,explanation
Observatories,9,What is the Extremely Large Telescope's mirror size?,39 meters,30 meters,25 meters,50 meters,A,The Extremely Large Telescope will have a 39-meter segmented primary mirror when completed.
Curiosities,2,What is the fastest spinning planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C,Jupiter has the fastest rotation period spinning once every 9 hours and 56 minutes.
Curiosities,4,What is the Fermi Paradox named after?,Enrico Fermi's lunch question,Giuseppe Fermi's theory,Fermi's telescope discovery,Fermi's space mission,A,"The Fermi Paradox is named after Enrico Fermi who asked ""Where is everybody?"" during a 1950 lunch conversation."
Fermi Paradox,6,What is the Fermi Paradox?,The contradiction between high probability of alien life and lack of evidence,A physics principle about particle behavior,A mathematical equation for space travel,A theory about black hole formation,A,The Fermi Paradox questions why we haven't found evidence of extraterrestrial civilizations despite the high probability of their existence.
Stars,2,What is the final stage of a massive star's life?,White dwarf,Neutron star,Red giant,Protostar,B,Massive stars may end as neutron stars or black holes after a supernova explosion.
Black Holes,8,What is the firewall paradox?,Black holes are too hot,The event horizon burns matter,Quantum effects create a firewall,Black holes emit fire,C,The firewall paradox suggests quantum effects might create a destructive firewall at the event horizon.
Solar System,5,What is the frost line in the Solar System?,The boundary where water freezes,The edge of the heliosphere,The asteroid belt location,The Kuiper Belt inner edge,A,The frost line is the distance from the Sun where water ice can condense in the protoplanetary disk.
Galaxies,7,What is the fundamental plane of elliptical galaxies?,Relationship between size velocity and brightness,Galaxy formation timeline,Stellar population characteristics,Dark matter distribution,A,The fundamental plane describes the relationship between effective radius surface brightness and velocity dispersion in elliptical galaxies.
Black Holes,10,What is the fuzzball theory?,Black holes are made of tangled strings,Black holes have fuzzy boundaries,Event horizons are approximate,Black holes are quantum superpositions,A,The fuzzball theory in string theory suggests black holes are made of tangled strings rather than having event horizons.
Relativity,7,What is the geodesic deviation equation?,Describes tidal forces,Calculates light bending,Measures time dilation,Determines frame dragging,A,The geodesic deviation equation describes how nearby geodesics separate due to spacetime curvature (tidal forces).
Solar System,9,What is the Grand Tack model?,Jupiter's inward then outward migration,Saturn's ring formation theory,Mars' atmospheric loss mechanism,Venus' retrograde rotation explanation,A,The Grand Tack model proposes Jupiter migrated inward to 1.5 AU then outward explaining the asteroid belt structure.
Galaxies,7,What is the Great Attractor?,A massive galaxy,A gravitational anomaly,A black hole,A dark matter concentration,B,The Great Attractor is a gravitational anomaly that appears to be pulling our Local Group toward it.
Fermi Paradox,7,What is the Great Filter concept?,Barrier preventing spacefaring civilizations,Cosmic event destroying life,Method of communication,Type of telescope technology,A,The Great Filter is a hypothetical barrier that prevents most life from evolving to become spacefaring civilizations.
Curiosities,4,What is the Great Red Spot on Jupiter?,A storm,A moon,A crater,A mountain,A,The Great Red Spot is a giant storm on Jupiter that has been raging for at least 400 years.
Exoplanets,5,What is the habitable zone also called?,Goldilocks zone,Green zone,Life zone,Water zone,A,"The habitable zone is also called the Goldilocks zone where conditions are ""just right"" for liquid water."
Exoplanets,5,What is the habitable zone around a star?,The zone where planets form,The zone where life could exist with liquid water,The zone closest to the star,The zone farthest from the star,B,The habitable zone is the region around a star where conditions might allow liquid water to exist on a planet's surface.
Exoplanets,3,What is the habitable zone?,Region where liquid water can exist,Region with oxygen atmosphere,Region with magnetic field,Region with stable orbit,A,The habitable zone is the region around a star where liquid water could exist on a planet's surface.
Curiosities,8,What is the heat death of the universe?,Maximum entropy state with no usable energy,Universe becoming too hot,Universe burning up,Universe exploding,A,Heat death refers to the universe reaching maximum entropy with no energy available to perform work.
Stars,8,What is the helium flash?,Explosive helium burning in low-mass stars,Helium star explosion,Helium planet formation,Helium atmospheric escape,A,The helium flash is the explosive onset of helium burning in the degenerate core of low-mass red giant stars.
Black Holes,10,What is the holographic principle related to black holes?,Black holes are holograms,Information is encoded on the surface,Black holes project images,Black holes are two-dimensional,B,The holographic principle suggests that all information in a volume can be encoded on its boundary surface.
Black Holes,8,What is the holographic principle?,Information encoded on boundary surfaces,Black holes are holograms,3D space is an illusion,Time is emergent,A,The holographic principle suggests all information in a volume can be encoded on its boundary surface.
Curiosities,4,What is the hottest planet in the Solar System?,Mercury,Venus,Mars,Earth,B,"Venus has a thick atmosphere that traps heat, making it the hottest planet."
Telescopes and Observatories,7,What is the Hubble Space Telescope's main advantage?,Space location avoiding atmosphere,Large mirror size,Advanced instruments,Long operational life,A,Hubble's main advantage is its space location avoiding atmospheric distortion and absorption.
Black Holes,6,What is the information paradox related to black holes?,Information cannot enter black holes,Information is destroyed in black holes,Information cannot escape black holes,Information creates black holes,B,The information paradox questions whether information is truly destroyed when matter falls into a black hole.
Black Holes,7,What is the information paradox?,Information is destroyed in black holes,Information cannot enter black holes,Information cannot escape black holes,Information creates black holes,A,The information paradox questions whether information is truly destroyed when matter falls into a black hole.
Black Holes,5,What is the innermost stable circular orbit (ISCO)?,The event horizon,The closest stable orbit around a black hole,The photon sphere,The ergosphere boundary,B,The ISCO is the closest distance at which matter can orbit a black hole in a stable circular orbit.
Space Missions,9,What is the Interstellar Probe mission concept?,Probe to interstellar space,Mars sample return,Jupiter moon exploration,Solar observation,A,The Interstellar Probe is a proposed mission to travel beyond the heliosphere into interstellar space.
Exoplanets,9,What is the James Webb Space Telescope's contribution to exoplanet science?,Finding new exoplanets,Studying exoplanet atmospheres,Measuring exoplanet masses,Calculating exoplanet orbits,B,JWST specializes in studying exoplanet atmospheres using infrared spectroscopy to analyze their composition.
Exoplanets,10,What is the James Webb Space Telescope's exoplanet capability?,Detailed atmospheric spectroscopy,Direct imaging of all exoplanets,Detecting Earth-sized planets,Measuring planetary masses,A,JWST can perform detailed atmospheric spectroscopy of exoplanets revealing their composition and properties.
Comets and Asteroids,7,What is the Kirkwood gaps?,Empty regions in the asteroid belt,Gaps in Saturn's rings,Spaces between planets,Holes in comets,A,Kirkwood gaps are regions in the asteroid belt with few asteroids due to gravitational resonances with Jupiter.
Solar System,7,What is the Kozai mechanism?,Orbital resonance effect,Tidal heating process,Magnetic field interaction,Atmospheric escape mechanism,A,The Kozai mechanism describes how gravitational perturbations can cause periodic changes in orbital eccentricity and inclination.
Comets and Asteroids,5,What is the Kuiper Belt?,A region of asteroids,A region of comets beyond Neptune,A type of comet,A spacecraft mission,B,The Kuiper Belt is a region beyond Neptune containing many icy bodies and short-period comets.
Observatories,5,What is the Lagrange point L2?,A point between Earth and Moon,A point 1.5 million km from Earth,A point on Earth's surface,A point near the Sun,B,Lagrange point L2 is located about 1.5 million kilometers from Earth opposite the Sun where JWST operates.
Observatories,2,What is the largest optical telescope currently in operation?,Hubble Space Telescope,Keck Observatory,Very Large Telescope,Extremely Large Telescope,C,The Very Large Telescope (VLT) in Chile is currently among the largest optical telescopes in operation.
Solar System,1,What is the largest planet in our Solar System?,Earth,Mars,Jupiter,Saturn,C,Jupiter is the largest planet in our Solar System with a mass greater than all other planets combined.
Observatories,10,What is the Laser Interferometer Space Antenna (LISA)?,Space-based gravitational wave detector,Optical space telescope,Radio telescope array,Particle physics experiment,A,LISA will be a space-based gravitational wave detector using laser interferometry between three spacecraft.
Space Missions,6,What is the LISA mission designed to detect?,Gravitational waves from space,Exoplanet atmospheres,Solar neutrinos,Cosmic rays,A,LISA (Laser Interferometer Space Antenna) will detect gravitational waves from space using laser interferometry.
Galaxies,5,What is the Local Group?,Our galaxy cluster,Our star cluster,Our planetary system,Our solar neighborhood,A,The Local Group is the galaxy cluster containing the Milky Way Andromeda and about 80 other galaxies.
Telescopes and Observatories,5,What is the main advantage of radio telescopes?,They work during the day,They can penetrate dust clouds,They are cheaper to build,They don't need mirrors,B,Radio telescopes can observe through dust clouds that block optical light revealing hidden regions of space.
Telescopes and Observatories,5,What is the main advantage of the Hubble Space Telescope?,Large size,Space location,Advanced instruments,Long operation time,B,Hubble's main advantage is its location in space avoiding atmospheric distortion and absorption.
Stars,7,What is the main difference between Type Ia and Type II supernovae?,Age of the star,Mass of the star,Type of explosion mechanism,Location in galaxy,C,Type Ia supernovae come from exploding white dwarfs while Type II come from core collapse of massive stars.
Astrophysics,7,What is the main evidence for dark energy?,Supernova brightness,Planetary motion,Gravitational waves,Cosmic rays,A,"Distant supernovae appear dimmer than expected, suggesting accelerated expansion."
Stars,2,What is the main fuel that powers stars like our Sun?,Helium,Carbon,Hydrogen,Oxygen,C,"Stars like our Sun are powered by nuclear fusion, where hydrogen atoms fuse to form helium, releasing enormous amounts of energy."
Telescopes and Observatories,4,What is the main purpose of the Kepler Space Telescope?,Study black holes,Find exoplanets,Observe galaxies,Map stars,B,Kepler was specifically designed to find Earth-like exoplanets using the transit method.
Space Missions,5,What is the main scientific goal of the Parker Solar Probe?,Study solar wind,Touch the Sun's corona,Measure solar temperature,Map solar surface,B,"The Parker Solar Probe aims to ""touch"" the Sun by flying through its corona to study solar physics."
Fermi Paradox,6,What is the Mediocrity Principle?,Earth and humanity are typical,Everything is average quality,Life is mediocre everywhere,Intelligence is common,A,The Mediocrity Principle suggests Earth and humanity are typical rather than special in the universe.
Black Holes,6,What is the membrane paradigm for black holes?,Treating event horizon as a physical membrane,Black holes having actual membranes,Multiple event horizons,Black hole interior structure,A,The membrane paradigm treats the event horizon as a physical membrane with properties like temperature and resistance.
Stars,5,What is the minimum mass required for a star to end as a Type II supernova?,4 solar masses,6 solar masses,8 solar masses,10 solar masses,C,A star must have at least 8 solar masses to end its life as a Type II core-collapse supernova.
Galaxies,10,What is the missing satellite problem?,Fewer observed dwarf galaxies than predicted,Missing spiral arms,Absent central black holes,Lost stellar populations,A,The missing satellite problem is that fewer dwarf galaxies are observed around the Milky Way than dark matter simulations predict.
Galaxies,7,What is the morphology-density relation?,Galaxy types vary with environment density,Galaxy shapes change with time,Galaxy sizes correlate with mass,Galaxy colors depend on age,A,The morphology-density relation shows that elliptical galaxies are more common in dense environments.
Curiosities,4,What is the most abundant element in the universe?,Oxygen,Carbon,Helium,Hydrogen,D,Hydrogen is the most abundant element making up about 75% of the universe's normal matter.
Comets and Asteroids,1,What is the most famous comet that returns every 76 years?,Comet Hale-Bopp,Halley's Comet,Comet Hyakutake,Comet NEOWISE,B,"Halley's Comet is the most famous periodic comet, returning to the inner Solar System every 75-76 years."
Drake Equation,8,What is the most uncertain parameter in the Drake Equation?,Star formation rate,Fraction of stars with planets,Fraction developing intelligent life,Lifetime of communicating civilizations,C,The fraction of planets that develop intelligent life remains the most speculative and uncertain parameter.
Drake Equation,6,What is the most uncertain parameter?,Fraction developing intelligent life,Star formation rate,Fraction of stars with planets,Lifetime of civilizations,A,The fraction of planets that develop intelligent life remains the most speculative and uncertain parameter.
Black Holes,2,What is the name of the boundary around a black hole?,Photon sphere,Event horizon,Singularity,Accretion disk,B,The event horizon marks the boundary beyond which nothing can escape a black hole.
Solar System,3,"What is the name of the interstellar comet discovered by NASA on July 1, 2025?",2I/Borisov,3I/ATLAS,1I/'Oumuamua,4I/Neowise,B,"Comet 3I/ATLAS was discovered on July 1, 2025, by the NASA-funded ATLAS survey telescope."
Observatories,8,What is the Nancy Grace Roman Space Telescope's specialty?,Wide-field infrared surveys,Exoplanet direct imaging,Solar observation,Gravitational wave detection,A,The Roman Space Telescope will conduct wide-field infrared surveys studying dark energy and exoplanets.
Galaxies,5,What is the nearest major galaxy to the Milky Way?,Triangulum Galaxy,Large Magellanic Cloud,Andromeda Galaxy,Whirlpool Galaxy,C,"The Andromeda Galaxy (M31) is the nearest major galaxy to the Milky Way, about 2.5 million light-years away."
Telescopes and Observatories,10,What is the next generation Very Large Array?,Next Generation Very Large Array (ngVLA),Square Kilometre Array,Extremely Large Telescope,Thirty Meter Telescope,A,The ngVLA (next generation Very Large Array) is the planned successor to the current VLA radio telescope.
Solar System,8,What is the Nice Model's prediction about Neptune?,It formed closer to the Sun,It has no solid core,It will eventually leave the Solar System,It was captured from another star,A,The Nice Model suggests Neptune formed closer to the Sun and migrated outward due to gravitational interactions.
Black Holes,5,What is the no-hair theorem in black hole physics?,Black holes have no magnetic field,Black holes are characterized by only three properties,Black holes cannot rotate,Black holes have no temperature,B,The no-hair theorem states that black holes are characterized by only mass electric charge and angular momentum.
Black Holes,6,What is the no-hair theorem?,Black holes characterized by three properties only,Black holes have no magnetic fields,Black holes cannot rotate,Black holes have no temperature,A,The no-hair theorem states black holes are characterized only by mass electric charge and angular momentum.
Comets and Asteroids,5,What is the nucleus of a comet primarily made of?,Rock and metal,Ice and dust,Gas and plasma,Pure ice,B,"A comet's nucleus is primarily made of ice and dust often described as a ""dirty snowball."""
Exoplanets,8,What is the occurrence rate of Earth-like planets?,About 1 in 5 Sun-like stars,About 1 in 50 Sun-like stars,About 1 in 100 Sun-like stars,About 1 in 1000 Sun-like stars,A,Current estimates suggest about 20% of Sun-like stars have Earth-sized planets in their habitable zones.
Comets and Asteroids,3,What is the Oort Cloud?,A region of asteroids,A region of comets,A type of nebula,A galaxy cluster,B,The Oort Cloud is a spherical region of icy objects that surrounds our Solar System and is the source of long-period comets.
Comets and Asteroids,7,What is the Oort Cloud's estimated extent?,50000 to 100000 AU,1000 to 5000 AU,10 to 50 AU,200000 to 500000 AU,A,The Oort Cloud is estimated to extend from about 50000 to 100000 AU from the Sun.
Drake Equation,6,What is the optimistic estimate?,Millions of communicating civilizations,Thousands of civilizations,Hundreds of civilizations,Tens of civilizations,A,Optimistic estimates of the Drake Equation suggest millions of communicating civilizations in our galaxy.
Stars,9,What is the pair-instability supernova?,Supernova from very massive stars,Binary star explosion,White dwarf explosion,Neutron star collision,A,Pair-instability supernovae occur in very massive stars (140-260 solar masses) when electron-positron pairs form in the core.
Solar System,5,What is the Parker Spiral?,The Sun's magnetic field structure,Jupiter's magnetic field lines,Saturn's ring structure,Mars' atmospheric circulation,A,The Parker Spiral describes the structure of the Sun's magnetic field as it extends through the solar system.
Relativity,10,What is the Penrose process?,Energy extraction from rotating black holes,Black hole formation mechanism,Gravitational wave generation,Wormhole traversal method,A,The Penrose process allows energy extraction from a rotating black hole by dropping objects into the ergosphere.
Drake Equation,8,What is the pessimistic interpretation?,Very few or no other civilizations,Civilizations are hostile,Communication is impossible,Space travel is impossible,A,Pessimistic interpretations of the Drake Equation suggest we might be alone or civilizations are extremely rare.
Relativity,9,What is the Petrov classification?,Classification of spacetime geometries,Classification of black holes,Classification of gravitational waves,Classification of cosmic strings,A,The Petrov classification categorizes spacetime geometries based on the algebraic properties of the Weyl tensor.
Curiosities,9,What is the Planck length?,Smallest meaningful length scale,Size of an atom,Size of a proton,Wavelength of visible light,A,The Planck length (about 10^-35 meters) is considered the smallest meaningful length scale in physics.
Telescopes and Observatories,9,What is the planned successor to the Hubble Space Telescope?,James Webb Space Telescope,Nancy Grace Roman Space Telescope,Extremely Large Telescope,Square Kilometre Array,B,The Nancy Grace Roman Space Telescope is planned as Hubble's successor for wide-field optical observations.
Telescopes and Observatories,9,What is the planned Thirty Meter Telescope's location?,Mauna Kea Hawaii,Atacama Desert Chile,Canary Islands Spain,Mount Wilson California,A,The Thirty Meter Telescope is planned for construction on Mauna Kea in Hawaii.
Telescopes and Observatories,6,What is the primary advantage of space-based telescopes over ground-based ones?,They're cheaper to build,They avoid atmospheric interference,They're easier to maintain,They can observe longer,B,"Space-based telescopes avoid atmospheric interference, allowing for clearer observations across all wavelengths of light."
Observatories,4,What is the primary advantage of the James Webb Space Telescope over Hubble?,Larger mirror,Infrared capability,Better location,All of the above,D,JWST has a larger mirror infrared capability and operates at the L2 Lagrange point giving it multiple advantages.
Telescopes and Observatories,8,What is the primary challenge for extremely large telescopes?,Cost,Atmospheric turbulence,Mirror technology,Computer processing,B,Atmospheric turbulence is the primary challenge requiring advanced adaptive optics systems for extremely large telescopes.
Telescopes and Observatories,9,What is the primary challenge for ground-based telescopes?,Atmospheric turbulence,Cost of construction,Maintenance difficulties,Light pollution,A,Atmospheric turbulence is the primary challenge limiting the resolution of ground-based telescopes.
Space Missions,3,What is the primary goal of the Ariel mission planned for 2029?,Study Mars atmosphere,Analyze exoplanet atmospheres,Explore Jupiter's moons,Map asteroid belt,B,"The Ariel mission, launching in 2029, will perform a chemical census of exoplanets by analyzing their atmospheres."
Space Missions,5,What is the primary goal of the Euclid mission?,Study dark energy and dark matter,Find exoplanets,Study the Sun,Map the Milky Way,A,The Euclid mission aims to study dark energy and dark matter by mapping the geometry of the universe.
Space Missions,3,What is the primary instrument on TESS?,Photometer,Spectrometer,Magnetometer,Interferometer,A,TESS uses photometers to detect exoplanets through the transit method by measuring stellar brightness changes.
Space Missions,4,What is the primary instrument type on the TRACERS mission?,Optical telescope,Magnetometer,Spectrometer,Radio antenna,B,TRACERS uses magnetometers to study magnetic reconnection when solar activity disrupts Earth's magnetic field.
Observatories,4,What is the primary mirror diameter of the James Webb Space Telescope?,2.4 meters,4.2 meters,6.5 meters,8.4 meters,C,JWST has a primary mirror diameter of 6.5 meters made up of 18 hexagonal segments.
Exoplanets,7,What is the radial velocity method for detecting exoplanets?,Measuring planet's speed,Measuring star's wobble,Measuring planet's temperature,Measuring star's brightness,B,The radial velocity method detects exoplanets by measuring the wobble of the host star caused by gravitational pull.
Fermi Paradox,7,What is the Rare Earth Hypothesis?,Earth is the only planet,Complex life is extremely rare,Earth is perfectly positioned,Earth has rare elements,B,The Rare Earth Hypothesis suggests that complex life requires such specific conditions that it's extremely rare in the universe.
Telescopes and Observatories,6,What is the resolution limit of a telescope determined by?,Its cost,Its location,Its aperture size,Its age,C,The resolution limit of a telescope is primarily determined by the size of its aperture (mirror or dish diameter).
Space Missions,8,What is the Roman Space Telescope's primary survey?,Wide-field infrared survey,X-ray all-sky survey,Radio sky survey,Gamma-ray survey,A,The Nancy Grace Roman Space Telescope will conduct wide-field infrared surveys of the universe.
Exoplanets,5,What is the Rossiter-McLaughlin effect?,Spectral line distortion during transit,Planetary magnetic field detection,Atmospheric escape measurement,Orbital decay observation,A,The Rossiter-McLaughlin effect is the distortion of stellar spectral lines during planetary transits revealing spin-orbit alignment.
Comets and Asteroids,9,What is the rubble pile structure?,Asteroids as loose aggregates,Solid rock asteroids,Metallic asteroids,Icy asteroids,A,Many asteroids have a rubble pile structure consisting of loose aggregates of rocks held together by weak gravity.
Stars,6,What is the s-process in stellar nucleosynthesis?,Slow neutron capture,Slow proton capture,Stellar spin process,Surface convection process,A,The s-process (slow neutron capture) creates heavy elements in asymptotic giant branch stars over thousands of years.
Relativity,7,What is the Schwarzschild radius?,The event horizon radius,The photon sphere radius,The ergosphere radius,The ISCO radius,A,The Schwarzschild radius defines the event horizon of a non-rotating black hole.
Drake Equation,10,What is the Seager Equation?,An equation for exoplanets,A modification of Drake Equation,An equation for biosignatures,All of the above,D,The Seager Equation is Sara Seager's modification focusing on biosignatures in exoplanet atmospheres.
Drake Equation,8,What is the Seager Equation's focus?,Biosignatures in exoplanet atmospheres,Radio signals from space,Optical signals from civilizations,Gravitational wave communications,A,The Seager Equation focuses on detecting biosignatures in exoplanet atmospheres rather than radio communications.
Fermi Paradox,8,What is the Simulation Hypothesis in relation to the Fermi Paradox?,We live in a computer simulation,Aliens use simulations,Space is simulated,Time is simulated,A,The Simulation Hypothesis suggests we might be living in a computer simulation which could explain the apparent absence of aliens.
Fermi Paradox,9,What is the Simulation Hypothesis?,We live in a computer simulation,Aliens use simulations,Reality is simulated,Time is simulated,A,The Simulation Hypothesis suggests we might be living in a computer simulation explaining the apparent absence of aliens.
Space Missions,6,What is the Solar Orbiter's unique capability?,Observing Sun's polar regions,Landing on the Sun,Touching the corona,Measuring solar wind,A,Solar Orbiter will provide the first images of the Sun's polar regions by flying out of the ecliptic plane.
Astrophysics,1,What is the speed of light in vacuum?,"30,000 km/s","300,000 km/s","3,000 km/s","3,000,000 km/s",B,"Light travels at approximately 300,000 kilometers per second in vacuum."
Observatories,9,What is the Square Kilometre Array (SKA)?,A large optical telescope,A radio telescope array,A space telescope,A gravitational wave detector,B,The SKA will be the world's largest radio telescope array when completed.
Observatories,8,What is the Square Kilometre Array's advantage?,Unprecedented sensitivity and resolution,Largest single dish,Highest altitude location,Most advanced computers,A,The SKA will provide unprecedented sensitivity and resolution through its vast collecting area.
Drake Equation,9,What is the Statistical Drake Equation?,A more precise version,A version using probability distributions,A simplified version,A version for multiple galaxies,B,The Statistical Drake Equation uses probability distributions rather than single values for each parameter.
Comets and Asteroids,8,What is the streaming instability in asteroid formation?,Dust concentration mechanism,Gravitational collapse,Magnetic field effects,Solar wind pressure,A,The streaming instability concentrates dust particles in protoplanetary disks leading to asteroid and planetesimal formation.
Solar System,10,What is the streaming instability?,Planet formation mechanism,Solar wind acceleration,Magnetic field reconnection,Atmospheric turbulence,A,The streaming instability is a mechanism that concentrates dust particles in protoplanetary disks leading to planetesimal formation.
Comets and Asteroids,6,What is the sublimation process in comets?,Direct transition from ice to gas,Melting then evaporation,Chemical decomposition,Nuclear fusion,A,Sublimation is the direct transition of ice to gas without melting which creates a comet's coma and tail.
Galaxies,8,What is the Sunyaev-Zel'dovich effect?,CMB distortion by galaxy clusters,Galaxy rotation curves,Galactic magnetic fields,Stellar formation rates,A,The Sunyaev-Zel'dovich effect is the distortion of cosmic microwave background radiation by hot gas in galaxy clusters.
Curiosities,2,What is the temperature of space?,Absolute zero,Very cold but not absolute zero,Room temperature,It varies greatly,B,Space has a temperature of about 2.7 Kelvin due to the cosmic microwave background radiation.
Drake Equation,9,What is the temporal aspect of the Drake Equation?,Civilizations existing at different times,How long civilizations last,When life begins,Speed of evolution,A,The temporal aspect considers that civilizations may exist at different times making contact unlikely even if many exist.
Telescopes and Observatories,10,What is the theoretical resolution limit called?,Rayleigh criterion,Dawes limit,Airy disk,All of the above,D,The theoretical resolution limit involves all these concepts: Rayleigh criterion Dawes limit and Airy disk.
Telescopes and Observatories,8,What is the theoretical resolution limit formula?,θ = 1.22λ/D,θ = λ/D,θ = 2λ/D,θ = 0.5λ/D,A,The theoretical resolution limit (Rayleigh criterion) is θ = 1.22λ/D where λ is wavelength and D is aperture diameter.
Comets and Asteroids,5,What is the Tisserand parameter?,Orbital parameter for comet classification,Asteroid composition measure,Comet nucleus size,Asteroid rotation period,A,The Tisserand parameter is used to classify comets and determine if they have the same orbit as previously observed objects.
Fermi Paradox,9,What is the Transcension Hypothesis?,Aliens transcend physical reality,Aliens become energy beings,Advanced civilizations turn inward,Aliens travel through dimensions,C,The Transcension Hypothesis suggests advanced civilizations focus inward on nanotechnology rather than expanding outward.
Exoplanets,7,What is the transmission spectrum method?,Analyzing starlight filtered through atmosphere,Direct imaging of planets,Measuring stellar wobble,Detecting gravitational microlensing,A,Transmission spectroscopy analyzes starlight filtered through an exoplanet's atmosphere during transit.
Solar System,4,What is the Trojan asteroids' relationship to Jupiter?,They orbit Jupiter directly,They share Jupiter's orbit at Lagrange points,They orbit between Jupiter and Mars,They are Jupiter's captured moons,B,Trojan asteroids share Jupiter's orbit staying at the stable L4 and L5 Lagrange points 60 degrees ahead and behind Jupiter.
Galaxies,6,What is the Tully-Fisher relation?,Galaxy luminosity-rotation velocity relation,Galaxy size-mass relation,Galaxy age-metallicity relation,Galaxy color-magnitude relation,A,The Tully-Fisher relation correlates galaxy luminosity with rotation velocity used for distance measurements.
Relativity,6,What is the twin paradox resolution?,Acceleration breaks symmetry,Time is absolute,Space contracts,Gravity affects time,A,The twin paradox is resolved because the traveling twin experiences acceleration breaking the symmetry between reference frames.
Relativity,5,What is the twin paradox?,Twins age differently in space,Twins see different things,Twins have different masses,Twins experience different gravity,A,The twin paradox demonstrates time dilation where a traveling twin ages slower than one remaining on Earth.
Relativity,8,What is the Weyl tensor?,Tidal gravitational field,Electromagnetic field tensor,Stress-energy tensor,Metric tensor,A,The Weyl tensor represents the tidal gravitational field the part of curvature that causes tidal effects.
Curiosities,6,What is the Wow! Signal?,A radio signal from space,A light signal from space,A gravitational wave,A cosmic ray burst,A,The Wow! Signal was a strong radio signal detected in 1977 that lasted 72 seconds and has never been explained.
Curiosities,5,What is the Wow! Signal's duration?,72 seconds,30 seconds,2 minutes,5 minutes,A,The Wow! Signal was a strong radio signal detected in 1977 that lasted exactly 72 seconds.
Comets and Asteroids,8,What is the Yarkovsky effect?,Solar heating affecting asteroid orbits,Gravitational effects on comets,Magnetic effects on asteroids,Tidal effects on moons,A,The Yarkovsky effect is when solar heating causes small changes in asteroid orbits over long periods.
Solar System,4,What is the Yarkovsky-O'Keefe-Radzievskii-Paddack (YORP) effect?,Asteroid rotation changes,Comet tail formation,Planetary ring dynamics,Tidal locking mechanism,A,The YORP effect causes changes in asteroid rotation rates due to asymmetric thermal emission of absorbed sunlight.
Fermi Paradox,6,What is the Zoo Hypothesis?,Aliens keep us as pets,Aliens are observing us without contact,Aliens live in zoos,We are alone in the universe,B,The Zoo Hypothesis suggests that alien civilizations are aware of us but avoid contact to allow natural development.
Astrophysics,3,What keeps planets in orbit around stars?,Electric force,Magnetism,Dark matter,Gravity,D,Gravity keeps planets in stable orbits around stars.
Black Holes,3,What lies at the center of a black hole?,A neutron star,Dark energy,A singularity,A supernova,C,The singularity is a point of infinite density at the center of a black hole.
Solar System,5,What lies beyond Pluto that was recently discovered by the Subaru Telescope?,A new dwarf planet,A tiny object,A comet,An asteroid belt,B,A tiny object far beyond Pluto was discovered by the Subaru Telescope and could reshape our understanding of the early Solar System.
Observatories,3,What makes the James Webb Space Telescope superior to Hubble?,It's larger and observes in infrared,It's closer to Earth,It has better cameras,It's cheaper to operate,A,"JWST is larger and specializes in infrared observations, allowing it to see through cosmic dust and observe the early universe."
Exoplanets,3,What method did the Kepler telescope primarily use to find exoplanets?,Direct imaging,Transit method,Radial velocity,Gravitational lensing,B,Kepler used the transit method detecting the dimming of stars when planets pass in front of them.
Drake Equation,6,What organization primarily uses the Drake Equation today?,NASA,SETI Institute,ESA,NSF,B,The SETI Institute continues to use the Drake Equation as a framework for research into extraterrestrial intelligence.
Black Holes,4,What percentage of maximum spinning speed was one of the black holes in the 2025 merger spinning at?,50%,70%,90%,100%,C,One of the black holes in the collision was spinning at around 90% of its maximum possible speed.
Curiosities,4,What percentage of the universe is ordinary matter?,About 5%,About 25%,About 70%,About 95%,A,Ordinary (baryonic) matter makes up only about 5% of the universe's total mass-energy content.
Fermi Paradox,8,What question does the Fermi Paradox address?,Why the Sun shines,Where extraterrestrial life is,How stars form,Why galaxies spin,B,It asks why we have not found signs of alien civilizations despite the vast universe.
Exoplanets,4,What recent discovery did the James Webb Space Telescope make regarding exoplanets?,A potentially habitable planet,Evidence for a new exoplanet just 4 light-years away,The first exoplanet atmosphere,Water on an exoplanet,B,"JWST found strong evidence for a new exoplanet orbiting Alpha Centauri A, just 4 light-years from Earth."
Galaxies,4,What type of galaxy has no defined shape?,Spiral,Elliptical,Irregular,Lenticular,C,Irregular galaxies have no defined spiral or elliptical shape and often result from galactic collisions.
Galaxies,6,What type of galaxy is the Milky Way?,Spiral,Elliptical,Irregular,Ring,A,The Milky Way is a barred spiral galaxy.
Space Missions,5,What type of landers are Griffin Mission 1 and Blue Ghost 2?,Mars landers,Asteroid landers,Lunar landers,Venus landers,C,Both Griffin Mission 1 and Blue Ghost 2 are NASA CLPS (Commercial Lunar Payload Services) lunar landers planned for 2025.
Space Missions,2,What type of mission is CLPS?,Mars exploration,Lunar payload services,Asteroid mining,Venus exploration,B,CLPS stands for Commercial Lunar Payload Services delivering scientific instruments to the Moon.
Stars,3,What type of nebula serves as a stellar nursery?,Planetary nebula,Emission nebula,Supernova remnant,Dark nebula,B,Emission nebulae are stellar nurseries where new stars form from gas and dust.
Observatories,3,What type of radiation does the Spitzer Space Telescope observe?,Visible light,Infrared,X-rays,Radio waves,B,The Spitzer Space Telescope was designed to observe infrared radiation from space.
